line,key,role,context_status,source_status,overall_status,context_hits,source_hits,manuscript_context,source_title
471,AlbrechtMagueijo1999VSL,VSL cosmology boundary,PASS,PASS,PASS,varying-speed; visible light speed; cosmological,varying speed of light; cosmological; puzzles,Varying-speed-of-light cosmologies change the status of the visible light speed or introduce bimetric/cosmological mechanisms to address early-universe puzzles [@AlbrechtMagueijo1999VSL; @Magueijo2003VSLReview; @Moffat2002VSLTheories; @Magueijo2008BimetricVSL].,A time varying speed of light as a solution to cosmological puzzles
471,Magueijo2003VSLReview,VSL review boundary,PASS,PASS,PASS,varying-speed; visible light speed; cosmological,varying speed of light; theories,Varying-speed-of-light cosmologies change the status of the visible light speed or introduce bimetric/cosmological mechanisms to address early-universe puzzles [@AlbrechtMagueijo1999VSL; @Magueijo2003VSLReview; @Moffat2002VSLTheories; @Magueijo2008BimetricVSL].,New varying speed of light theories
471,Moffat2002VSLTheories,VSL theory boundary,PASS,PASS,PASS,varying-speed; visible light speed; cosmological,variable speed of light; theories,Varying-speed-of-light cosmologies change the status of the visible light speed or introduce bimetric/cosmological mechanisms to address early-universe puzzles [@AlbrechtMagueijo1999VSL; @Magueijo2003VSLReview; @Moffat2002VSLTheories; @Magueijo2008BimetricVSL].,Variable Speed of Light Theories
471,Magueijo2008BimetricVSL,bimetric VSL boundary,PASS,PASS,PASS,bimetric; varying-speed; visible light speed,bimetric; varying speed of light,Varying-speed-of-light cosmologies change the status of the visible light speed or introduce bimetric/cosmological mechanisms to address early-universe puzzles [@AlbrechtMagueijo1999VSL; @Magueijo2003VSLReview; @Moffat2002VSLTheories; @Magueijo2008BimetricVSL].,Bimetric varying speed of light theories and primordial fluctuations
473,ColladayKostelecky1998SME,SME Lorentz-violation framework,PASS,PASS,PASS,sme; lorentz,lorentz; standard model,Local visible-sector Lorentz breaking belongs to the SME program [@ColladayKostelecky1998SME; @KosteleckyRussell2011DataTablesSME].,Lorentz-Violating Extension of the Standard Model
473,KosteleckyRussell2011DataTablesSME,SME constraint tables,PASS,PASS,PASS,sme,data tables; lorentz; cpt,Local visible-sector Lorentz breaking belongs to the SME program [@ColladayKostelecky1998SME; @KosteleckyRussell2011DataTablesSME].,Data Tables for Lorentz and CPT Violation
475,Bekenstein1993DisformalGeometry,disformal metric boundary,PASS,PASS,PASS,disformal; physical/gravitational; metric,physical; gravitational; geometry,Disformal hidden metrics and preferred vectors sit near Bekenstein-type physical/gravitational metric relations and Einstein-aether models [@Bekenstein1993DisformalGeometry; @Jacobson2008EinsteinAetherStatus].,The Relation between Physical and Gravitational Geometry
475,Jacobson2008EinsteinAetherStatus,Einstein-aether boundary,PASS,PASS,PASS,aether; preferred,einstein-aether; gravity,Disformal hidden metrics and preferred vectors sit near Bekenstein-type physical/gravitational metric relations and Einstein-aether models [@Bekenstein1993DisformalGeometry; @Jacobson2008EinsteinAetherStatus].,Einstein-aether gravity: a status report
477,Glashow1998PhotonVelocityOscillations,photon velocity-oscillation boundary,PASS,PASS,PASS,photon; velocity oscillation; velocity eigenstate,photon; velocity; oscillations,Photon/paraphoton velocity oscillation models already show that mixing a visible photon with a second velocity eigenstate is strongly bounded by CMB and distant-source propagation [@Glashow1998PhotonVelocityOscillations; @DeAngelisPain2002PhotonVelocityOscillations].,Cosmological Searches for Photon Velocity Oscillations
477,DeAngelisPain2002PhotonVelocityOscillations,photon velocity-oscillation limits,PASS,PASS,PASS,photon; bounded; velocity oscillation,photon; velocity; oscillations,Photon/paraphoton velocity oscillation models already show that mixing a visible photon with a second velocity eigenstate is strongly bounded by CMB and distant-source propagation [@Glashow1998PhotonVelocityOscillations; @DeAngelisPain2002PhotonVelocityOscillations].,Improved limits on photon velocity oscillations
479,KosteleckyMewes2004Neutrinos,SME neutrino Lorentz/CPT boundary,PASS,PASS,PASS,neutrino; sme,lorentz; cpt; neutrinos,SME neutrino Hamiltonians and active-sterile altered-dispersion or shortcut models already contain unconventional energy dependence and resonant structures [@KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Lorentz and CPT Violation in Neutrinos
479,PaesPakvasaWeiler2005ShortcutSterile,sterile active shortcut boundary,PASS,PASS,PASS,sterile; shortcut,sterile; active; shortcut,SME neutrino Hamiltonians and active-sterile altered-dispersion or shortcut models already contain unconventional energy dependence and resonant structures [@KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Sterile-active neutrino oscillations and shortcuts in the extra dimension
479,HollenbergPaes2009ADRResonance,altered-dispersion sterile resonance boundary,PASS,PASS,PASS,altered-dispersion; resonant; sterile,active-sterile; altered dispersion; resonant,SME neutrino Hamiltonians and active-sterile altered-dispersion or shortcut models already contain unconventional energy dependence and resonant structures [@KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Resonant active-sterile neutrino mixing in the presence of matter potentials and altered dispersion relations
479,Barenboim2019SterileADRRevisited,sterile altered-dispersion boundary,PASS,PASS,PASS,altered-dispersion; sterile,sterile; altered dispersion,SME neutrino Hamiltonians and active-sterile altered-dispersion or shortcut models already contain unconventional energy dependence and resonant structures [@KosteleckyMewes2004Neutrinos; @PaesPakvasaWeiler2005ShortcutSterile; @HollenbergPaes2009ADRResonance; @Barenboim2019SterileADRRevisited].,Sterile neutrinos with altered dispersion relations revisited
481,LoboRomero2018SecondClockConstraints,second-clock-effect boundary,PASS,PASS,PASS,weyl; clock,second clock; experimental constraints,Existing clock-network searches for topological dark matter already look for transient correlated frequency shifts [@LoboRomero2018SecondClockConstraints; @HobsonLasenby2020WeylNoSecondClock; @HobsonLasenby2021SecondClockNote; @DereviankoPospelov2013TopologicalDMClocks; @Wcislo2016OpticalClocksTopologicalDM; @Roberts2017GPSDomainWallDM; @Wcislo2018GlobalClockNetworkDM].,Experimental constraints on the second clock effect
481,HobsonLasenby2020WeylNoSecondClock,Weyl second-clock boundary,PASS,PASS,PASS,weyl; clock,weyl; second clock,Existing clock-network searches for topological dark matter already look for transient correlated frequency shifts [@LoboRomero2018SecondClockConstraints; @HobsonLasenby2020WeylNoSecondClock; @HobsonLasenby2021SecondClockNote; @DereviankoPospelov2013TopologicalDMClocks; @Wcislo2016OpticalClocksTopologicalDM; @Roberts2017GPSDomainWallDM; @Wcislo2018GlobalClockNetworkDM].,Weyl gauge theories of gravity do not predict a second clock effect
481,HobsonLasenby2021SecondClockNote,Weyl second-clock boundary,PASS,PASS,PASS,weyl; clock,second clock; weyl,Existing clock-network searches for topological dark matter already look for transient correlated frequency shifts [@LoboRomero2018SecondClockConstraints; @HobsonLasenby2020WeylNoSecondClock; @HobsonLasenby2021SecondClockNote; @DereviankoPospelov2013TopologicalDMClocks; @Wcislo2016OpticalClocksTopologicalDM; @Roberts2017GPSDomainWallDM; @Wcislo2018GlobalClockNetworkDM].,Note on the absence of the second clock effect in Weyl gauge theories of gravity
481,DereviankoPospelov2013TopologicalDMClocks,topological defect clock-search boundary,PASS,PASS,PASS,topological; clock; frequency shifts,topological; dark matter; atomic clocks,Existing clock-network searches for topological dark matter already look for transient correlated frequency shifts [@LoboRomero2018SecondClockConstraints; @HobsonLasenby2020WeylNoSecondClock; @HobsonLasenby2021SecondClockNote; @DereviankoPospelov2013TopologicalDMClocks; @Wcislo2016OpticalClocksTopologicalDM; @Roberts2017GPSDomainWallDM; @Wcislo2018GlobalClockNetworkDM].,Hunting for topological dark matter with atomic clocks
481,Wcislo2016OpticalClocksTopologicalDM,optical clock topological-defect search,PASS,PASS,PASS,topological; clock; frequency shifts,topological; dark matter; optical; clocks,Existing clock-network searches for topological dark matter already look for transient correlated frequency shifts [@LoboRomero2018SecondClockConstraints; @HobsonLasenby2020WeylNoSecondClock; @HobsonLasenby2021SecondClockNote; @DereviankoPospelov2013TopologicalDMClocks; @Wcislo2016OpticalClocksTopologicalDM; @Roberts2017GPSDomainWallDM; @Wcislo2018GlobalClockNetworkDM].,Searching for topological defect dark matter with optical atomic clocks
481,Roberts2017GPSDomainWallDM,GPS domain-wall clock search,PASS,PASS,PASS,clock; frequency shifts; topological,domain wall; dark matter; atomic clocks,Existing clock-network searches for topological dark matter already look for transient correlated frequency shifts [@LoboRomero2018SecondClockConstraints; @HobsonLasenby2020WeylNoSecondClock; @HobsonLasenby2021SecondClockNote; @DereviankoPospelov2013TopologicalDMClocks; @Wcislo2016OpticalClocksTopologicalDM; @Roberts2017GPSDomainWallDM; @Wcislo2018GlobalClockNetworkDM].,Search for domain wall dark matter with atomic clocks on board global positioning system satellites
481,Wcislo2018GlobalClockNetworkDM,global optical-clock network search,PASS,PASS,PASS,global; clock; frequency shifts; topological,global network; optical atomic clocks; dark matter,Existing clock-network searches for topological dark matter already look for transient correlated frequency shifts [@LoboRomero2018SecondClockConstraints; @HobsonLasenby2020WeylNoSecondClock; @HobsonLasenby2021SecondClockNote; @DereviankoPospelov2013TopologicalDMClocks; @Wcislo2016OpticalClocksTopologicalDM; @Roberts2017GPSDomainWallDM; @Wcislo2018GlobalClockNetworkDM].,First observation with global network of optical atomic clocks aimed for a dark matter detection
483,HassanRosen2011Bimetric,ghost-free bimetric boundary,PASS,PASS,PASS,bimetric; ghost; spin-2,bimetric; ghost-free; massive gravity,"Generic interacting spin-2 sectors face the usual ghost and consistency issues unless special structures are imposed, and visible gravity-light speed differences are tightly constrained by GW170817/GRB170817A [@HassanRosen2011Bimetric; @HassanRosen2011Secondary; @LIGO2017GW170817GRB].",Bimetric Gravity from Ghost-free Massive Gravity
483,HassanRosen2011Secondary,bimetric ghost constraint boundary,PASS,PASS,PASS,bimetric; ghost; spin-2,secondary constraint; ghost; bimetric,"Generic interacting spin-2 sectors face the usual ghost and consistency issues unless special structures are imposed, and visible gravity-light speed differences are tightly constrained by GW170817/GRB170817A [@HassanRosen2011Bimetric; @HassanRosen2011Secondary; @LIGO2017GW170817GRB].",Confirmation of the Secondary Constraint and Absence of Ghost in Massive Gravity and Bimetric Gravity
483,LIGO2017GW170817GRB,GW170817 multimessenger speed boundary,PASS,PASS,PASS,gw170817; grb170817a; gravity-light; speed,gw170817; grb 170817a; gravitational waves,"Generic interacting spin-2 sectors face the usual ghost and consistency issues unless special structures are imposed, and visible gravity-light speed differences are tightly constrained by GW170817/GRB170817A [@HassanRosen2011Bimetric; @HassanRosen2011Secondary; @LIGO2017GW170817GRB].",Gravitational Waves and Gamma-rays from a Binary Neutron Star Merger: GW170817 and GRB 170817A
