run_at_utc,query_label,query_text,query_purpose,database,id,title,year,published,authors,venue,url,citation_count,collision_level,collision_reasons,abstract
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,arxiv,1209.5602v3,"Hidden sector dark matter explains the DAMA, CoGeNT, CRESST-II and CDMS/Si experiments",2012,2012-09-25,R. Foot,arXiv,https://arxiv.org/abs/1209.5602v3,,low,hidden sector,"We examine data from the DAMA, CoGeNT, CRESST-II and CDMS/Si direct detection experiments in the context of multi-component hidden sector dark matter. The models considered feature a hidden sector with two or more stable particles charged under an unbroken $U(1)'$ gauge interaction. The new gauge field can interact with the standard $U(1)_Y$ via renormalizable kinetic mixing, leading to Rutherford-type elastic scattering of the dark matter particles off ordinary nuclei. We consider the simplest generic model of this type, with a hidden sector composed of two stable particles, $F_1$ and $F_2$. We find that this simple model can simultaneously explain the DAMA, CoGeNT, CRESST-II and CDMS/Si data. This explanation has some tension with the most recent results from the XENON100 experiment."
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,arxiv,1610.09430v1,Lorentz-Violating QCD Corrections to Deep Inelastic Scattering,2016,2016-10-28,A. R. Vieira,arXiv,https://arxiv.org/abs/1610.09430v1,,low,lorentz,"In this work, we present CPT- and Lorentz-violating corrections to observable quantities in electron-proton scattering. We also show how the theoretical prediction can be used together with data to establish bounds on a coefficient for CPT and Lorentz violation in the QCD sector."
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,arxiv,1410.5244v1,Cryogenic resonant microwave cavity searches for hidden sector photons,2014,2014-10-20,Stephen R. Parker; John G. Hartnett; Rhys G. Povey; Michael E. Tobar,arXiv,https://arxiv.org/abs/1410.5244v1,,low,hidden sector,"The hidden sector photon is a weakly interacting hypothetical particle with sub-eV mass that kinetically mixes with the photon. We describe a microwave frequency light shining through a wall experiment where a cryogenic resonant microwave cavity is used to try and detect photons that have passed through an impenetrable barrier, a process only possible via mixing with hidden sector photons. For a hidden sector photon mass of 53 $μ$eV we limit the hidden photon kinetic mixing parameter $χ< 1.7\times10^{-7}$, which is an order of magnitude lower than previous bounds derived from cavity experiments in the same mass range. In addition, we use the cryogenic detector cavity to place new limits on the kinetic mixing parameter for hidden sector photons as a form of cold dark matter."
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,arxiv,2212.09504v1,Calculations in Lorentz-breaking scalar QED,2022,2022-12-15,Jean C. C. Felipe; A. Yu Petrov; A. P. B. Scarpelli; L. C. T. Brito,arXiv,https://arxiv.org/abs/2212.09504v1,,low,lorentz,"We purpose a study a Lorentz-breaking extension of the scalar QED. We calculate the contributions in the Lorentz-violating parameters to the two-point functions of scalar and gauge fields. We found that the two background tensors, coming from the two sectors (scalar and gauge) are mixed in the one-loop corrections. This shows that these two Lorentz-breaking terms cannot be studied in an isolated form."
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,arxiv,1911.07780v1,Lorentz-Violating Running of Coupling Constants,2019,2019-11-18,A. R. Vieira; N. Sherrill,arXiv,https://arxiv.org/abs/1911.07780v1,,low,lorentz,"We compute the full vacuum polarization tensor in the minimal QED extension. We find that its low-energy limit is dominated by the radiatively induced Chern-Simons-like term and the high-energy limit is dominated by the c-type coefficients. We investigate the implications of the high-energy limit for the QED and QCD running couplings. In particular, the QCD running offers the possibility to study Lorentz-violating effects on the parton distribution functions and observables such as the hadronic R ratio."
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,arxiv,0305037v2,Signs of Lorentz violation in electrodynamics: variable speed of light and the photon mass,2003,2003-05-09,R. Assumpcao,arXiv,https://arxiv.org/abs/0305037v2,,medium,observability; speed of light; lorentz,"Recent studies of spacetime anisotropy in the context of local Lorentz invariance (LLI) based on classical Michelson-Morley experiments, as well Kennedy-Thorndyke tests, pointed out the existence of terms first order in v/c and of angular signatures independent of v. This contribution replaces the Lorentz symmetry by a velocity gauge transformation following an argument centred on observability. Results show even and odd order terms and indicate that motion is always underestimated in the spatiotemporal platform. Though LLI is not recovered in exact special relativistic terms, the alternative looks compatible with the relational aspects of general relativity (GR) with variable speed of light models as well a nonzero photon mass. This raises the hypothesis that Einstein equivalence principle, and consequently LLI, is a cornerstone of GR, but not necessarily a fundamental one of SR"
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,arxiv,2206.11002v2,Lorentz symmetry breaking and supersymmetry,2022,2022-06-22,J. R. Nascimento; A. Yu. Petrov,arXiv,https://arxiv.org/abs/2206.11002v2,,low,lorentz,"We discuss three manners to implement Lorentz symmetry breaking in a superfield theory formulated within the superfield formalism, that is, deformation of the supersymmetry algebra, introducing of an extra superfield whose components can depend on Lorentz-violating (LV) vectors (tensors), and adding of new terms proportional to LV vectors (tensors) to the superfield action. We illustrate these methodologies with examples of quantum calculations."
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,openalex,10.1146/annurev.nucl.012809.104433,The Low-Energy Frontier of Particle Physics,2010,2010-10-22,Joerg Jaeckel; Andreas Ringwald,Annual Review of Nuclear and Particle Science,https://doi.org/10.1146/annurev.nucl.012809.104433,1007,none,,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,openalex,10.1007/jhep02(2021)202,Emergent gravity from hidden sectors and TT deformations,2021,2021-02-24,P. Betzios; E. Kiritsis; V. Niarchos,Journal of High Energy Physics,https://doi.org/10.1007/jhep02(2021)202,14,low,hidden sector,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,openalex,10.2172/1042577,"Fundamental Physics at the Intensity Frontier: Report of the Workshop held December 2011 in Rockville, MD",2012,2012-05-01,"USDOE Office of Science (SC), High Energy Physics (HEP); J. Hewett; H. Weerts; R. Brock; J. Butler; B. Casey",,https://doi.org/10.2172/1042577,103,none,,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,openalex,10.3390/physics4020028,Relativity 4-ever?,2022,2022-04-13,Olga Chashchiná; З. К. Силагадзе,Physics,https://doi.org/10.3390/physics4020028,6,none,,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,openalex,10.1103/physrevlett.133.251004,Self-Interacting Dark Sectors in Supernovae Can Behave as a Relativistic Fluid,2024,2024-12-18,Damiano F. G. Fiorillo; Edoardo Vitagliano,Physical Review Letters,https://doi.org/10.1103/physrevlett.133.251004,24,none,,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,openalex,10.12942/lrr-2001-1,The Cosmological Constant,2001,2001-02-07,Sean M. Carroll,Living Reviews in Relativity,https://doi.org/10.12942/lrr-2001-1,2576,none,,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,openalex,10.1140/epjc/s10052-025-14082-4,A mechanism to generate varying speed of light via Higgs-dilaton coupling: theory and cosmological applications,2025,2025-04-07,Hoang Ky Nguyen,The European Physical Journal C,https://doi.org/10.1140/epjc/s10052-025-14082-4,2,low,speed of light,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,openalex,10.1063/1.3076781,New Constraints on Hidden Photons using Very High Energy Gamma-Rays from the Crab Nebula,2008,2008-01-01,Hannes-Sebastian Zechlin; Dieter Horns; Javier Redondo; Felix A. Aharonian; Werner Hofmann; Frank Rieger,AIP conference proceedings,https://doi.org/10.1063/1.3076781,11,none,,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,crossref,10.32388/mexdoh,"Review of: ""Entangled Simultaneity: Testing Lorentz and Light-Speed Invariance with Quantum and Classical Entanglement""",2024,2024,Ken Krechmer,,https://doi.org/10.32388/mexdoh,,low,lorentz,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,crossref,10.32388/0iij2m,"Review of: ""Entangled Simultaneity: Testing Lorentz and Light-Speed Invariance with Quantum and Classical Entanglement""",2024,2024,Andrzej Gózdz,,https://doi.org/10.32388/0iij2m,,low,lorentz,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,crossref,10.32388/s99cej,"Review of: ""Entangled Simultaneity: Testing Lorentz and Light-Speed Invariance with Quantum and Classical Entanglement""",2024,2024,Sabu Thomas,,https://doi.org/10.32388/s99cej,,low,lorentz,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,crossref,10.32388/10mn2r,"Review of: ""Entangled Simultaneity: Testing Lorentz and Light-Speed Invariance with Quantum and Classical Entanglement""",2024,2024,Mojtaba Mazaheri,,https://doi.org/10.32388/10mn2r,,low,lorentz,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,crossref,10.32388/e3x21v,"Review of: ""Entangled Simultaneity: Testing Lorentz and Light Speed Invariance with Quantum and Classical Entanglement""",2025,2025,Justo Lambare,,https://doi.org/10.32388/e3x21v,,low,lorentz,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,crossref,10.32388/0zdenk,"Review of: ""Entangled Simultaneity: Testing Lorentz and Light-Speed Invariance with Quantum and Classical Entanglement""",2024,2024,Jean Schneider,,https://doi.org/10.32388/0zdenk,,low,lorentz,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,crossref,10.32388/cm0qi4,"Review of: ""Entangled Simultaneity: Testing Lorentz and Light-Speed Invariance with Quantum and Classical Entanglement""",2024,2024,Susmita Kar,,https://doi.org/10.32388/cm0qi4,,low,lorentz,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,crossref,10.32388/3dqljs,"Review of: ""Entangled Simultaneity: Testing Lorentz and Light-Speed Invariance with Quantum and Classical Entanglement""",2025,2025,Qing-Ping Ma,,https://doi.org/10.32388/3dqljs,,low,lorentz,
2026-06-30T13:25:46+00:00,observability_hidden_speed,"""hidden sector"" ""speed of light"" observability Lorentz",papers treating hidden speed constants as observables,semantic_scholar,ERROR,Semantic Scholar query failed: HTTP Error 429: ,,,,,,,none,,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,arxiv,1606.08600v2,Limits on Lorentz invariance violation at the Planck energy scale from H.E.S.S. spectral analysis of the blazar Mrk 501,2016,2016-06-28,Matthias Lorentz; Pierre Brun,arXiv,https://arxiv.org/abs/1606.08600v2,,low,lorentz,"Some extensions to the Standard Model lead to the introduction of Lorentz symmetry breaking terms, expected to induce deviations from Lorentz symmetry around the Planck scale. A parameterization of effects due to Lorentz invariance violation (LIV) can be introduced by adding an effective term to the photon dispersion relation. This affects the kinematics of electron-positron pair creation by TeV $γ$ rays on the extragalactic background light (EBL) and translates into modifications of the standard EBL opacity for the TeV photon spectra of extragalactic sources. Exclusion limits are presented, obtained with the spectral analysis of H.E.S.S. observations taken on the blazar Mrk 501 during the exceptional 2014 flare. The energy spectrum, extending very significantly above 10 TeV, allows to place strong limits on LIV in the photon sector at the level of the Planck energy scale for linear perturbations in the photon dispersion relation, and provides the strongest constraints presently for the case of quadratic perturbations."
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,arxiv,1610.09430v1,Lorentz-Violating QCD Corrections to Deep Inelastic Scattering,2016,2016-10-28,A. R. Vieira,arXiv,https://arxiv.org/abs/1610.09430v1,,low,lorentz,"In this work, we present CPT- and Lorentz-violating corrections to observable quantities in electron-proton scattering. We also show how the theoretical prediction can be used together with data to establish bounds on a coefficient for CPT and Lorentz violation in the QCD sector."
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,arxiv,2212.09504v1,Calculations in Lorentz-breaking scalar QED,2022,2022-12-15,Jean C. C. Felipe; A. Yu Petrov; A. P. B. Scarpelli; L. C. T. Brito,arXiv,https://arxiv.org/abs/2212.09504v1,,low,lorentz,"We purpose a study a Lorentz-breaking extension of the scalar QED. We calculate the contributions in the Lorentz-violating parameters to the two-point functions of scalar and gauge fields. We found that the two background tensors, coming from the two sectors (scalar and gauge) are mixed in the one-loop corrections. This shows that these two Lorentz-breaking terms cannot be studied in an isolated form."
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,arxiv,2206.11002v2,Lorentz symmetry breaking and supersymmetry,2022,2022-06-22,J. R. Nascimento; A. Yu. Petrov,arXiv,https://arxiv.org/abs/2206.11002v2,,low,lorentz,"We discuss three manners to implement Lorentz symmetry breaking in a superfield theory formulated within the superfield formalism, that is, deformation of the supersymmetry algebra, introducing of an extra superfield whose components can depend on Lorentz-violating (LV) vectors (tensors), and adding of new terms proportional to LV vectors (tensors) to the superfield action. We illustrate these methodologies with examples of quantum calculations."
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,arxiv,1911.07780v1,Lorentz-Violating Running of Coupling Constants,2019,2019-11-18,A. R. Vieira; N. Sherrill,arXiv,https://arxiv.org/abs/1911.07780v1,,low,lorentz,"We compute the full vacuum polarization tensor in the minimal QED extension. We find that its low-energy limit is dominated by the radiatively induced Chern-Simons-like term and the high-energy limit is dominated by the c-type coefficients. We investigate the implications of the high-energy limit for the QED and QCD running couplings. In particular, the QCD running offers the possibility to study Lorentz-violating effects on the parton distribution functions and observables such as the hadronic R ratio."
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,arxiv,2206.06353v1,The unambiguous Lorentz-violating induced terms,2022,2022-06-13,A. R. Vieira,arXiv,https://arxiv.org/abs/2206.06353v1,,low,lorentz,"In this work, we show that surface terms, which map dependence on regularization, can be fixed requiring momentum routing invariance of tadpoles or diagrams with more external legs. This condition makes the Lorentz-violating terms induced by quantum corrections determined and uniques."
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,arxiv,2009.01107v1,Developments in Lorentz and CPT Violation,2020,2020-09-02,Alan Kostelecky,arXiv,https://arxiv.org/abs/2009.01107v1,,low,lorentz,"This talk at the CPT'19 meeting outlines a few recent developments in Lorentz and CPT violation, with particular attention to results obtained by researchers at the Indiana University Center for Spacetime Symmetries."
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,arxiv,1905.08405v1,Pulsar tests of the gravitational Lorentz violation,2019,2019-05-21,Lijing Shao,arXiv,https://arxiv.org/abs/1905.08405v1,,low,lorentz; SME,"Pulsars are precision celestial clocks. When being put in a binary, the ticking conveys the secret of underlying spacetime geometrodynamics. We use pulsars to test if the gravitational interaction possesses a tiny deviation from Einstein's General Relativity (GR). In the framework of Standard-Model Extension (SME), we systematically search for Lorentz-violating operators cataloged by (a) the minimal couplings of mass dimension 4, (b) the CPT symmetry of mass dimension 5, and (c) the gravitational weak equivalence principle (GWEP) of mass dimension 8. No deviation from GR was found yet."
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,openalex,10.3390/quantum8010002,Why Geometry Should Not Be Quantized: A Causal-Medium Unification of Gravity and Quantum Mechanics,2025,2025-12-31,Bin Li,Quantum Reports,https://doi.org/10.3390/quantum8010002,2,none,,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,openalex,10.1080/14029251.2015.1033239,Speed selection for coupled wave equations,2015,2015-03-25,Mariano Cadoni; Giuseppe Gaeta,Journal of Nonlinear Mathematical Physics,https://doi.org/10.1080/14029251.2015.1033239,0,none,,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,crossref,10.1111/j.1468-5965.2010.02120.x,Sectors at Different Speeds: Analysing Transposition Deficits in the European Union*,2011,2011,MARKUS HAVERLAND; BERNARD STEUNENBERG; FRANS VAN WAARDEN,JCMS: Journal of Common Market Studies,https://doi.org/10.1111/j.1468-5965.2010.02120.x,,none,,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,crossref,10.1142/9789813148505_0006,Limiting Lorentz-Invariance Violation and Baryonic Long-Range Forces Using Neutron-Antineutron Oscillation,2017,2017,Rabindra N. Mohapatra,CPT and Lorentz Symmetry,https://doi.org/10.1142/9789813148505_0006,,low,lorentz,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,crossref,10.1142/9789814566438_0037,WHAT WE REALLY KNOW ABOUT NEUTRINO SPEEDS,2014,2014,BRETT ALTSCHUL,CPT and Lorentz Symmetry,https://doi.org/10.1142/9789814566438_0037,,none,,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,crossref,10.2139/ssrn.4915776,The Boundaries Limiting Innovation in Government Sectors,2024,2024,Ahmad AlAwadhi,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4915776,,none,,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,crossref,10.1142/9789812774286_0018,The Principle of Limiting Lorentz and Poincaré Invariance,2006,2006,,Advanced Series on Theoretical Physical Science,https://doi.org/10.1142/9789812774286_0018,,low,lorentz,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,crossref,10.1016/0043-1648(72)90062-2,Rolling bearing limiting speeds for ball and cylindrical roller types,1972,1972,,Wear,https://doi.org/10.1016/0043-1648(72)90062-2,,low,limiting speed,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,crossref,10.1016/0041-2678(71)90072-8,Rolling bearing limiting speeds for ball and cylindrical roller types,1971,1971,E.E. Ellis,Tribology,https://doi.org/10.1016/0041-2678(71)90072-8,,low,limiting speed,
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,crossref,10.28924/2291-8639-24-2026-98,"Limiting Interpolation by Lorentz-Zygmund Spaces: Grand/Small Lebesgue, Lorentz, and Modelled Besov Spaces",2026,2026,Muhammad Awais; Zia Bashir; Thitiporn Linitda; Thanin Sitthiwirattham,International Journal of Analysis and Applications,https://doi.org/10.28924/2291-8639-24-2026-98,,low,lorentz,"<jats:p>In this article, we investigate limiting real interpolation spaces. Our primary goal is to thoroughly explore and establish the interpolation properties within critical cases θ = 0 and θ = 1 for Lorentz spaces, Grand and Small Lebesgue spaces as well as for Besov spaces modelled on so called Lorentz-Zygmund spaces. The key findings from our research indicate that Lorentz-Zygmund space can be viewed as an interpolation space by Peetre’s definition. This interpolation occurs between two Grand Lebesgue spaces, two Small Lebesgue spaces, or even between two Lorentz spaces.</jats:p>"
2026-06-30T13:25:46+00:00,multi_sector_limiting_speed,"""different limiting speeds"" sectors Lorentz",multi-speed sector and Lorentz-violation overlap,semantic_scholar,ERROR,Semantic Scholar query failed: HTTP Error 429: ,,,,,,,none,,
